date,username,retweets,text,mentions,hashtags
2018-08-09 15:01:57,Mayuri11758480,2,"Watch the video below https:// youtu.be/fOK1Y9xfn_o #cmaleaf #cmainter #ThursdayThoughts #KeralaFloods #IdukkiDam #BiggBossTelugu2 #BiggBossTamil #KeralaRain",,#cmaleaf #cmainter #ThursdayThoughts #KeralaFloods #IdukkiDam #BiggBossTelugu2 #BiggBossTamil #KeralaRain
2018-08-09 15:00:53,abpnewstv,11,"#KeralaFloods : Heavy rains wreak havoc in state; 26 dead, 24 dams opened #KeralaRains https://www. abplive.in/india-news/ker ala-floods-heavy-rains-wreak-havoc-in-state-26-dead-24-dams-opened-740268 …",,#KeralaFloods #KeralaRains
2018-08-09 15:00:49,Nkhatrii007,0,"Rip #KeralaFloods victims.! Why the @CMOKerala is reckless on his state concerns.! Adequate steps were not taken for this miss happening. @KeralaTourism @BJP4Keralam @INCKerala @rashtrapatibhvn @narendramodi @BJP4India @abpnewstv @CNNnews18 @ZeeNews",@CMOKerala @KeralaTourism @BJP4Keralam @INCKerala @rashtrapatibhvn @narendramodi @BJP4India @abpnewstv @CNNnews18 @ZeeNews,#KeralaFloods
2018-08-09 14:47:59,ArunDfc3,7,"#KeralaFloods : BePrepared & StaySafe. #KeralaRains #KeralaFlood #Palakkad #kochiairport pic.twitter.com/HVMEAPpQX2",,#KeralaFloods #KeralaRains #KeralaFlood #Palakkad #kochiairport
2018-08-09 14:47:49,PeninsulaQatar,0,"#Deathtoll in rain incidents over the last 24 hrs in #Kerala reached 24 on Thursday as Chief Minister #PinarayiVijayan postponed Saturday's annual Nehru boat race in Alappuzha following forecast of more rains. #keralarains #KeralaFloods #KeralaRain https:// thepeninsulaqatar.com/article/09/08/ 2018/Kerala-rains-leave-24-dead,-Cochin-airport-opens …",,#Deathtoll #Kerala #PinarayiVijayan #keralarains #KeralaFloods #KeralaRain
2018-08-09 14:47:15,stockhifi,0,"Just now saw #KeralaFloods Idukki dam opened after 26 yrs, arrivals suspended at Cochin Airport Stay safe sir https:// twitter.com/porinju/status /1027536107808862209 …",,#KeralaFloods
2018-08-09 14:44:41,latestly,2,"Union Minister KJ Alphons Says 'Worst Floods in Kerala in Past 50 Years'. Red Alert in #Kerala Following Heavy Rains and Flooding. #KeralaFloods #keralarains #KeralaRain #KJAlphons https://www. latestly.com/india/news/ker ala-rains-schools-colleges-closed-on-august-10-in-ernakulam-alappuzha-wayanad-kozhikode-and-palakkad-districts-red-alert-in-state-316408.html …",,#Kerala #KeralaFloods #keralarains #KeralaRain #KJAlphons
2018-08-09 14:42:46,tweetz_anand,0,"Tamil Nadu CM EPS: ready to assist if kerala in need of #KeralaFloods ; 5cr relief to kerala too @dhanyarajendran @RKRadhakrishn @ravisenthilkuma",@dhanyarajendran @RKRadhakrishn @ravisenthilkuma,#KeralaFloods
2018-08-09 14:40:52,EconomicTimes,22,"#KeralaFloods #LiveUpdates | 22 killed, Idukki dam opened after 26 yrs, arrivals suspended at Cochin Airport https:// goo.gl/zQqmzH pic.twitter.com/s1UYhOtFsB",,#KeralaFloods #LiveUpdates
2018-08-09 14:40:11,shuklaakul,0,"Scary pics of floods from Palakkad #PrayForKerala #KeralaFloods #keralaRains https:// twitter.com/dhanyarajendra n/status/1027511927679983617 …",,#PrayForKerala #KeralaFloods #keralaRains
