,date,username,retweets,text,mentions,hashtags
291,8/23/2018 8:55,ShashiTharoor,71,Chefs & cooks rally for KeralaFloods victims in a CookForKerala initiative!  â¦  â¦  â¦  â¦ Good thinking from !,@chef_pillai,#KeralaFloods #CookForKerala
292,8/23/2018 8:46,i_aliarif,27,KeralaFloods : Peshawar Zalmi owner Javed Afridi provides 5000 camps for victims kerala.twitter.com/O235KELsPv,@JAfridi10pic,#KeralaFloods #kerala
293,8/23/2018 8:45,iFaridoon,43,. setting an example by helping the KeralaFloods victims... Respectpic.twitter.com/NqaRN6aK4r,@RandeepHooda,#KeralaFloods #Respectpic
300,8/23/2018 7:04,excomradekerala,86,Commie bastards and Kerala Govt have the sole responsibility of KeralaFloods The CPM owes a public apology as their ignorance and arrogance claimed nearly 400 lives  â¦,@cpimspeak @CMOKerala,#KeralaFloods
310,8/22/2018 19:08,DrGPradhan,419,This is what UAE offered India for KeralaFloods Mr where did UAE Government offered 700Cr?? Why don't u apologize to People of India and Kerala for misleading them?pic.twitter.com/dyhFsTSoNW,@vijayanpinarayi,#KeralaFloods
311,8/22/2018 18:53,DrGPradhan,347,"The TRUTH Lulu Group Chairman MA Yusuff Ali informed the cm of Kerala that Abu Dhabi crown prince offered 700 crores to KeralaFloods Shri was so happy that he went to press conf and said ""UAE Offered 700 Cr"". This is the caliber of Lal Salaam â¦",@CMOKerala @vijayanpinarayi,#KeralaFloods
314,8/22/2018 17:52,DrGPradhan,483,"My humble request to His Excellency Sir to kindly confirm if UAE ""Government"" offered any AID to India for KeralaFloods If Not, I request Shri to apologize to the nation for misleading people cc.twitter.com/JJyhcW7Aiv",@HHShkMohd @CMOKerala @vijayanpinarayi @narendramodi @MEAIndiapic,#KeralaFloods
319,8/22/2018 16:25,irohitchoudhary,139,"Dear desk and graphic teams, please take geography lessons or at least do a simple Google search of where states in India are located Cc: KeralaFloods pic.twitter.com/hjDgl5WMWh",@IndiaToday @sardesairajdeep,#KeralaFloods
327,8/22/2018 14:21,rajalakshmij,243,"Pic1:Cong MP Shashi Tharoor & Cong Prez Rahul Gandhi ""discuss"" relief work for his constituency in Kerala from Geneva Pic2: BJP MP during relief work for KodaguFloods in his constituency Pic 3&4: BJP MLA & Maharashtra Minister for KeralaFloods relief pic.twitter.com/cTvCeIoV0G",@mepratap @girishdmahajan,#KodaguFloods #KeralaFloods
331,8/22/2018 12:10,CMOMaharashtra,100,"Great gesture : On CM appeal, by Sangli Collector Officeâs initiative, all citizens, NGOs, media, businessmen, students came together & collected around 14.5 ton food products in a record time for KeralaFloods affected persons. pic.twitter.com/oxO5AdmzWN",@Dev_Fadnavis,#KeralaFloods
333,8/22/2018 11:57,SuriyaFansFort,183,â¢ A truck with food & other essential materials for flood relief by all india Suriya fans reached in kerala and kerala state Committee collected it KeralaFloods KeralaSOS KeralaRelief KeralaFloodRelief.twitter.com/premo9m4ur,@Suriya_offl @rajsekarpandian @SuriyaFansClub @prabhu_srpic,#Suriya #KeralaFloods #KeralaSOS #KeralaRelief #KeralaFloodRelief
338,8/22/2018 10:00,SadhguruJV,1350,"The relentless efforts by volunteers, especially the medical teams, for those affected by KeralaFloods is incredible, yet just a drop in the ocean. Time to put our best foot forward to rehabilitate the people of Kerala in these challenging times. âSg KeralaSOSpic.twitter.com/QVxXoHMHqO",@ishafoundation,#KeralaFloods #KeralaSOSpic
339,8/22/2018 9:59,arvindvarchaswi,75,"Volunteers of serving day & night to ensure safety, food and necessities for flood victims in Kerala & Karnataka.Various trauma relief camps are being organized. Keralafloods Join the cause by participating in the link below:  â¦",@Artofliving,#Keralafloods
341,8/22/2018 9:33,CMOMaharashtra,97,"Jain International Organisation also hands over a cheque of â¹51,00,000/- towards CMReliefFund to CM . KeralaFloods pic.twitter.com/jU3IXYlayG",@Dev_Fadnavis @CMOKerala,#CMReliefFund #KeralaFloods
342,8/22/2018 9:33,CMOMaharashtra,110,"Jain International Organisation sends 5 trucks with relief material for KeralaFloods affected persons, which includes clothes, medicines. CM , NayPadmasagar ji Maharaj Sahab and other dignitaries were present.pic.twitter.com/3XYsHUWGo4",@Dev_Fadnavis,#KeralaFloods
346,8/22/2018 7:25,shreyadhoundial,131,My Eid Lunch today courtesy Community Kitchen in Kochi. On menu Rice Dal and the yummiest payasam ever made. The kitchen has fed 1 lakh people displaced by the KeralaFloods pic.twitter.com/CH7wxKu9mf,@indiannavy,#KeralaFloods
348,8/22/2018 6:55,eOrganiser,57,"Israel Embassy, through Its' Consulate General in has despatched the first truck carrying relief materials to Kerala KeralaFloods KeralaFloodRelief pic.twitter.com/yBU0KCZtvO",@IsraelBangalore @IsraelinIndia,#KeralaFloods #KeralaFloodRelief
350,8/22/2018 6:21,SalmanNizami_,449,Appreciate bhai for his support to the flood victims of Kerala. He is a great human. Eid Mubarak! KeralaFloods,@BeingSalmanKhan,#KeralaFloods
352,8/22/2018 5:29,swami2005,89,"Fun with the floods! RT Here's a video of a puppy, Hobi, finding some joy in the middle of the Keralafloods. (Story: The owner's home in Allapphuzha is submerged so she is staying at a guest house where they allow pets.)..... pic.twitter.com/UIbnWhfeKL",@thatdoggonelady,#Keralafloods
355,8/22/2018 4:51,BhavikaKapoor5,169,"Can you explain this Mr ???? Your govt didn't ask aid from as well, and you offered only 500 crores? What is this? Revenge from Kerala people? KeralaFloods - http://www.bbc.co.uk/hindi/india-45267024 â¦",@narendramodi @SushmaSwaraj @UN,#KeralaFloods
358,8/22/2018 4:38,jainajgd,170,Thousands of people across Kerala attending trauma relief programs. KeralaFloods RebuildKerala pic.twitter.com/iqXBlIle3R,@ArtofLiving,#KeralaFloods #RebuildKerala
362,8/22/2018 3:10,adgpi,526,Update KeralaFloods 2018 Rescue & relief ops carried out at Pathanamthitta district by the team of 21 Engineer Regiment led by Capt Ankur Teotia. Team rescued 227 individual. IndianArmy till now has extended medical aid to 746 personnel. OpMadad.twitter.com/8gBpVWMSwD,@PIB_India @SpokespersonMoDpic,#Update #KeralaFloods #IndianArmy #OpMadad
363,8/22/2018 2:30,MANJULtoons,1061,Donations are pouring in... My cartoon for Kerala KeralaFloods KeralaFloodReliefpic.twitter.com/AfDiWvtQUb,@mid_day,#cartoon #Kerala #KeralaFloods #KeralaFloodReliefpic
365,8/22/2018 1:59,churumuri,178,"How the ""most feared"", 74, a dour-faced Communist known as ""eratta chankan"" (one with two hearts), cancelled a visit to Mayo Clinic, took the Opposition along, took to the airwaves, and led a superb rescue and relief operation. KeralaFloods.twitter.com/WURZ1c95rv",@vijayanpinarayi @ttindiapic,#KeralaFloods
367,8/21/2018 23:56,MyFellowIndians,174,"Ever seen a man filled with so much HATE for his own people in DISASTER, just because they don't vote for him, as? Centre won't accept 700 crores & will TAX the relief fund it if it's accepted. So money donated for KeralaFloods will be used to BAIL OUT CRONIES. pic.twitter.com/cH7oHADfKl",@narendramodi,#KeralaFloods
368,8/21/2018 23:36,ShefVaidya,975,"KodaguFloods have been as devastating as KeralaFloods, but Kodavas or Kannadigas arenât abusing âcow-worshipping North Indiansâ for not coming to their aid, abusing the army or blaming. What is it about commies that turns them into such vicious ingrates?",@narendramodi,#KodaguFloods #KeralaFloods
371,8/21/2018 19:52,SirJadejaaaa,108,"Sacked IPS Officer And Now A Congress IT Cell Employee, Who Regularly Attends Rahul Gandhi's Social Media Meetings, Spreads Fake News Again Posting Image Of 2016 Claiming It To Be Of KeralaFloods To Attack Modi. Keralapic.twitter.com/KlaVtVhIRE",@sanjivbhatt,#KeralaFloods #Keralapic
372,8/21/2018 19:23,ZoomTV,90,. says his heart goes out to the flood-affected victims in Kerala. KeralaFloods  â¦,@BeingSalmanKhan,#KeralaFloods
374,8/21/2018 19:07,RevathyNS,51,"Minister has posted pictures of him sleeping in the relief camp, while he was sleeping ""à´à´¨à´¿ à´àµà´±à´àµà´àµ à´ªà´¬àµà´²à´¿à´àµ à´¨àµà´¯àµà´¯à´¿à´¸àµàµ»à´¸àµ à´à´µà´¾à´"" à´à´à´¤à´¿. à´àµà´ªàµà´àµ à´ªàµà´°à´³à´¯à´¦àµà´°à´¨àµà´¤àµ» KeralaFloods pic.twitter.com/GK7bdOY4O7",@alphonstourism,#à´ª #KeralaFloods
376,8/21/2018 17:18,ShainaNC,38,"Proud of round the clock dedication and hardwork by my ngo members across the country, as all have come together to help victims of KeralaFloods in all ways possible for KeralaFloodReliefpic.twitter.com/9FL9tBLUzJ",@GiantsWelfare,#KeralaFloods #KeralaFloodReliefpic
378,8/21/2018 16:48,rajalakshmij,72,"Shashi Tharoor exposed: Tharoor claims he is in Geneva, in midst of KeralaFloods ,to seek help from UN in ""close consultation with "" the CM himself is unaware of this consultation Tharoor sought permission frm Court for personal reasons not floodspic.twitter.com/Chm7TrqW9F",@CMOKerala @vijayanpinarayi,#KeralaFloods
386,8/21/2018 15:13,mithunraman,62,"Dear Ji. Please divert 10,000 Crores alloted for Salem-Chennai expressway to relief and rehabilitation of peoples life affected in KeralaFloods. We don't mind traveling just an hour extra between chennai and Salem. SharedfromFB",@narendramodi,#KeralaFloods #SharedfromFB
390,8/21/2018 13:41,GOKULBNAIR,985,"Thalapathy has given â¹ 3 Lakhs each to the 14 Districts VMI / Fan Clubs.. In addition, relief materials in 15 trucks from TN will reach the various districts of Kerala tonite.. KeralaFloodRelief KeralaFloods DoForKeralapic.twitter.com/0bk34Db6RV",@actorvijay,#Thalapathy #VMI #Kerala #KeralaFloodRelief #KeralaFloods #DoForKeralapic
393,8/21/2018 13:34,RIAZtheboss,345,". ThalapathyVijay Contributes towards KeralaFloods Victims in commendable Style! Over the past few weeks, the entire state of Kerala had been succumbed to inevitable devastation due to over flooding that had cost the lives of many people.",@actorvijay @Jagadishbliss,#ThalapathyVijay #KeralaFloods #Kerala
395,8/21/2018 13:23,kumarmanish9,107,A powerful story of SocialMedia4SocialGood. Anupriya donated her piggy bank money for KeralaFloods. She saved the money for a cycle. Mr read the inspiring print media story on her and offered her new cycle every year for the lifetime. â¦,@PankajMMunjal @thebetterindiahttps,#SocialMedia4SocialGood #KeralaFloods
396,8/21/2018 13:14,RIAZtheboss,126,"ThalapathyVijay's Donation To KeralaFloods- [2] The 15 Lorries He Sent For floodrelief Contained Items Such As Rice, dal, sugar, wheatflour, biscuits, bedsheets, sanitarynapkins & milkpowder Vijay KeralaFloodRelief KeralaReliefFund",@actorvijay @Jagadishbliss,#ThalapathyVijay #KeralaFloods #floodrelief #Rice #dal #sugar #wheatflour #biscuits #bedsheets #sanitarynapkins #milkpowder #Vijay #KeralaFloodRelief #KeralaReliefFund
397,8/21/2018 13:12,indiannavy,205,"KeralaFloodRelief KeralaFloods2018 KeralaFloods OpMadad Community kitchen run by IndianNavy in full swing, catering for people in excess of 7000..twitter.com/i53wZqTsAi",@DefenceMinIndia @SpokespersonMoD @IAF_MCC @adgpi @IndiaCoastGuard @nsitharaman @CMOKeralapic,#KeralaFloodRelief #KeralaFloods2018 #KeralaFloods #OpMadad #IndianNavy
398,8/21/2018 13:09,RIAZtheboss,473,. ThalapathyVijay's Donation For KeralaFloods! He Distributed 3 Lakhs Each To His VMI Fanclubs In 15 Districts & Delivered The Things Through 15 Lorries To The 12 Affected Districts In Kerala! Thalapathy Vijay KeralaFloodRelief,@actorvijay @BussyAnand @Jagadishbliss,#ThalapathyVijay #KeralaFloods #VMI #Kerala #Thalapathy #Vijay #KeralaFloodRelief
400,8/21/2018 12:52,itisprashanth,1682,"70 lakhs - Not about the money, but the huge heart annan has - Respect na !! KeralaFloods KeralaFloodRelief",@actorvijay,#KeralaFloods #KeralaFloodRelief
413,8/21/2018 11:14,JAfridi10,733,"There is a fresh new air in Pakistan but we are hearing some sad news from Kerala, India. Millions have been displaced by floods and from and we will like to donate 5000 tents and basic medical supplies for KeralaFloods . pic.twitter.com/TfWVOg0pnK",@PeshawarZalmi @FoundationZalmi,#Kerala #KeralaFloods
428,8/21/2018 7:46,anagha___,182,Thank you guys!! RebuildKerala KeralaFloods pic.twitter.com/C7D6Pt5iTA,@DettolIndia,#RebuildKerala #KeralaFloods
431,8/21/2018 7:25,Vj_Nirmal_sfc,235,We Our Salem Thalaivar Anna Fans SalemSFC have sent cost over 1.5 Lakhs of Goods and Products to Kerala People n Pray for them KeralaFloodRelief KeralaFloods KeralaReliefFund.twitter.com/2pipiSy6Z5,@Suriya_offl @SalemSuriya @rajsekarpandian @SuriyaFansClub @prabhu_sr @VigneshShivNpic,#SalemSFC #KeralaFloodRelief #KeralaFloods #KeralaReliefFund
433,8/21/2018 7:08,thatdoggonelady,248,"Here's a video of a puppy, Hobi, finding some joy in the middle of the Keralafloods. (Story: The owner's home in Allapphuzha is submerged so she is staying at a guest house where they allow pets.) 25/10 for enthusiasm and jumping skills. What say,.twitter.com/GydYgkQ6k0",@dog_ratespic,#Keralafloods
445,8/21/2018 4:58,SidhuIps2012,64,A picture is worth thousand words nevertheless :) KeralaFloods KeralaFloodRelief Kerala.twitter.com/dlSKxpiVXY,@IPS_Association @CMOKerala @TheKeralaPolice @hemantp83 @SivaVikram @itsdharmherepic,#KeralaFloods #KeralaFloodRelief #Kerala
446,8/21/2018 4:54,VSrinivasGoud,130,Telangana Gazetted Officers Association have decided to contribute one day salary of Rs 10 Crores for Kerala. Met Chief Secretary SK Joshi Ji and requested to remit the amount to Kerala CMRF. TelanganaStandsWithKerala KeralaFloods Telangana.twitter.com/lUCWCFCGMP,@CMOKeralapic,#Kerala #TelanganaStandsWithKerala #KeralaFloods #Telangana
455,8/21/2018 2:05,shibasahu2012,205,"Kerala school going girl, VS Swaha and his brother donate 1 acre of land worth 50lakhs to CM's disaster relief fund. Hats off to you Swaha. bpdeepu KeralaFloods KeralaFloodRelief kerala KeralaRainsHelppic.twitter.com/Nc3Qvh6LoE",@newindianexpress,#bpdeepu #KeralaFloods #KeralaFloodRelief #kerala #KeralaRainsHelppic
456,8/21/2018 1:30,eOrganiser,812,"After risky rescue missions which claimed the lives of 10 SevaBharati Karyakartas, Swayamsevaks are now involved in various service-relief activities, cleaning etc. in every nook & corner of the state. KeralaFloods KeralaFloodReliefpic.twitter.com/t7ZZPB8rzE",@RSSorg,#SevaBharati #KeralaFloods #KeralaFloodReliefpic
465,8/20/2018 18:09,ASRomaEN,1296,The thoughts of everyone at ASRoma are with those affected by the floods that have caused so much devastation in Kerala. We're in touch with the authorities to see what support we can offer. Fans can make a donation to the relief fund @ KeralaFloods pic.twitter.com/01U5eaWGRN,@https,#ASRoma #Kerala #KeralaFloods
466,8/20/2018 18:08,jiteshpillaai,181,Thank you for your kindness. This will help immensely for the relief activities keralafloods pic.twitter.com/CSOaq0tlsZ,@IrfanPathan,#keralafloods
469,8/20/2018 17:59,excomradekerala,745,"CPM insults Indian Army again! Thankless Minister Surendran insults Indian Army, saying ""Army alone can't undertake rescue operations. Army men can just stand in a corner with machine guns in their hands; that's all they can do!"" KeralaFloods pic.twitter.com/PKOOLGNjTx",@cpimspeak,#KeralaFloods
475,8/20/2018 16:33,annavetticad,93,"Read this heartening tribute to Kerala from an Army officer involved in rescue & relief operations during the KeralaFloods (shared by Rajiv Tyagi on Facebook). Dear Unnamed Army Officer, The respect & appreciation are mutual. THANK YOU!.twitter.com/IhZ8BXmWoc",@rajivtango @adgpipic,#Kerala #KeralaFloods
477,8/20/2018 16:07,Suriya_Trends,207,â¢ 3 Trucks Full Of Relief Materials Was Sent To Kerala For Keralafloods By AllIndiaSFC Always In The Path Of Our Chief KeralaFloods2018 KeralaReliefFundpic.twitter.com/ovEMcZASKs,@Suriya_offl,#Keralafloods #AllIndiaSFC #KeralaFloods2018 #KeralaReliefFundpic
481,8/20/2018 15:31,dhanyarajendran,261,"Scam. Fake account for Kerala CM distress relief fund emerges, gets blocked by SBI. reports. Pls check the correct account people KeralaFloods  â¦",@Shilparanipeta,#Scam #KeralaFloods
482,8/20/2018 15:25,RavinarIN,87,This man the... has abused our army Jawans a lot... Now... Ask this Army-hating joker of CPM (Comali Party of Murderers) to find the decency to say THANK YOU to our Jawans of KeralaFloods...,@vijayanpinarayi @CMOKerala @adgpi @Timesnow @Republic @Indiatoday @ndtv @CNNnews18,#KeralaFloods
483,8/20/2018 15:21,SuriyaFansClub,843,â¢ AllIndiaSFC 's Flood Relief Essential materials was sent to Kerala via 3 trucks.. Already 1truck reached Kerala.. Tomorrow afternoon the remaining materials will reach Kerala.. On Wednesday we will provide it to the people. KeralaFloodRelief KeralaFloods.twitter.com/hy3MZTmtIU,@suriya_offlpic,#AllIndiaSFC #Flood #KeralaFloodRelief #KeralaFloods
489,8/20/2018 14:23,sureshpprabhu,76,Latest status update on KeralaFloodRelief operations from. KeralaFloods pic.twitter.com/GGz0usrO7C,@MoCA_GoI,#KeralaFloodRelief #KeralaFloods
490,8/20/2018 14:05,ShashiTharoor,1384,"Landed in Geneva to meet w/ & international humanitarian agencies for consultations on KeralaFloods. While seeking help is the prerogative of the Govt of India, i am here, in close consultation w/, to explore what help could be possible if sought",@UN @CMOKerala @vijayanpinarayi,#KeralaFloods
491,8/20/2018 13:56,MomentsIndia,247,"The Chief Minister, joined many others to appeal for donations as the death toll climbed to more than 400 in Kerala as it is hit with the worst flooding in a century. KeralaFloods  â¦",@CMOKerala,#KeralaFloods
492,8/20/2018 13:44,AamAadmiParty,104,DANICS officers Association handed over a cheque of â¹1.5 Lacs for KeralaFloods to CM They also pledged to donate a day's salary & assured all possible help in flood relief efforts. Donate4Keralapic.twitter.com/euPmqnM8C5,@ArvindKejriwal,#KeralaFloods #Donate4Keralapic
494,8/20/2018 13:26,TelanganaCMO,172,Hon'ble CM Sri KCR instructed the officials concerned to send 500 Tons of Rice to Kerala State. CM responded to the request of the Sri and instructed the officials to supply rice for food to the flood victims. TelanganaStandsWithKerala KeralaFloods,@CMOKerala @VijayanPinarayi,#TelanganaStandsWithKerala #KeralaFloods
499,8/20/2018 11:32,AamAadmiParty,92,"Dear PM, Why the delay in declaring KeralaFloods a national calamity? People are suffering and you are being indecisive? OR is it decided not to declare so ? You surely must know that time is running out. Itâs either timely action or irreparable loss ! pic.twitter.com/S0tWWMH1Dv",@narendramodi,#KeralaFloods
501,8/20/2018 11:20,Khalsa_Aid,99,"Kerala Floods: Our India team preparing meals for over 10,000 people affected by KeralaFloods ! We are humbled by our amazing volunteers. To Donate:  â¦.twitter.com/zh3WjFjdTr",@CMOKerala @AlexCrawfordSky @SkyNewsTonightpic,#KeralaFloods
503,8/20/2018 10:49,CMO_Odisha,78,"As directed by CM, special coaches reserved in Trivandrum/Kochi to Bhubaneswar trains for bringing home Odia workers stranded in KeralaFloods. Kochuveli-Bhubaneswar special train engaged in same; Odisha Government ready to fund more special trains OdishaForKerala â¦",@Naveen_Odisha,#KeralaFloods #OdishaForKeralahttps
506,8/20/2018 10:36,SudhirRTI,104,"Pls Donate Something for People in Kerala Iâll also donate 5â¹ per RT & 10â¹ Per Follower, Maximum 2,100/-  Online Link . . . . IndiaForKerala KeralaFloodRelief KeralaFloods",@CMOKerala @ArvindKejriwal @PMOIndia @cmohry @NaveenJaihind,#Kerala #IndiaForKerala #KeralaFloodRelief #KeralaFloods
509,8/20/2018 10:19,CMOfficeAssam,102,Assam Government opens helpline number for those affected by KeralaFloods. Please call for any help or information..twitter.com/ebpVBg3JRN,@CMOKerala @vijayanpinarayipic,#KeralaFloods
510,8/20/2018 10:17,rajeev_mp,54,KeralaFloods KodaguFloods Thank you for your service.twitter.com/TL4PzWpKIc,@IAF_MCC @adgpi @indiannavy @IndiaCoastGuard @NDRFHQ @ITBP_officialpic,#KeralaFloods #KodaguFloods
512,8/20/2018 9:58,Bollyhungama,86,KeralaFloods : lends his support to victims and pleads everyone to help on social media KeralaFloodRescuehttp://www.bollywoodhungama.com/news/bollywood/kerala-floods-hrithik-roshan-lends-support-victims-pleads-everyone-help-social-media/ â¦,@iHrithik,#KeralaFloods #KeralaFloodRescuehttp
516,8/20/2018 9:08,abpnewstv,258,"A group of Sikh volunteers from Khalsa Aid International, have stepped forward to help Kerala flood victims. KeralaFloods KeralaFloods2018 keralapic.twitter.com/LrKN8tqExh",@Khalsa_Aid,#KeralaFloods #KeralaFloods2018 #keralapic
518,8/20/2018 8:56,indiannavy,745,OpMadad KeralaFloodsRelief KeralaFloods Wheelchair bound(paralysed below the waist) pregnant lady being winched up to safety in a very challenging hover by Captain P Rajkumar Shaurya Chakra. Location is some where in North of Aluva.twitter.com/KW0mw36eCu,@DefenceMinIndia @nsitharaman @CMOKeralapic,#OpMadad #KeralaFloodsRelief #KeralaFloods
519,8/20/2018 8:42,BussyAnand,271,Kerala Mersal Girls Fans Association ThalapathyVMIMembers Collects And Hand Over Flood Relief Materials To Flood Affecters. KeralaFloodRelief KeralaFloods pic.twitter.com/0613MV7Csk,@actorvijay @Jagadishbliss @RIAZtheboss,#ThalapathyVMIMembers #KeralaFloodRelief #KeralaFloods
520,8/20/2018 8:42,SAfridiOfficial,4473,Deeply saddened by the devastating floods in Kerala India. The shares your pain & stands with our brothers and sister in need. May Allah ease your sufferings & you find quick relief. KeralaFloods SAF HopeNotOut for Humanity.,@SAFoundationN,#Kerala #India #KeralaFloods #SAF #HopeNotOut
524,8/20/2018 8:21,CMOMaharashtra,303,Maharashtra Minister and team of 95 consisting of doctors and nursing staff leaves for Kerala to provide medical assistance to KeralaFloods affected persons from Mumbai Airport. pic.twitter.com/eEJbFQan05,@girishdmahajan,#KeralaFloods
525,8/20/2018 8:15,IPS_Association,354,"Priceless moment ~ a cop rescues a new born baby in KeralaFloods. Flood wreaked havoc but failed to diminish the spirit of hope, help & humanity. More power to our bravehearts ! KeralaFloodRescue KeralaFloodRelief PoliceinKeralaFloodspic.twitter.com/8cf5fzJCch",@TheKeralaPolice,#KeralaFloods #Flood #humanity #KeralaFloodRescue #KeralaFloodRelief #PoliceinKeralaFloodspic
527,8/20/2018 7:55,indiannavy,205,Navy ALH involved in KeralaFloods2018 KeralaFloods OpMadad rescue ops in North Paravur.twitter.com/X0tcGR062j,@DefenceMinIndia @IAF_MCCpic,#KeralaFloods2018 #KeralaFloods #OpMadad
528,8/20/2018 7:47,BDUTT,394,103 people were saved across this mad gush of water by in a op led by Slt Pulkit Sonia. The bridge & road broke so people were stranded on the other side. Sailors swam through and created a line tying six ropes between the trees to ferry people keralafloods pic.twitter.com/QBZ6cvhPXu,@indiannavy,#keralafloods
529,8/20/2018 7:44,ShashiTharoor,232,The notion of divine retribution being peddled by some to explain the KeralaFloods is a travesty of the Hindu faith they claim to espouse. is right; keep Sabarimala out of this! â¦,@RahulEaswar,#KeralaFloods #Sabarimala
537,8/20/2018 6:18,IPS_Association,214,"245 Odisha Fire Service personnel & 63 boats air-lifted by & deployed in KeralaFloodRelief since 19 Aug. Since 1999 Super Cyclone, Odisha has emerged as a model in disaster preparedness. KeralaFloods PoliceinKeralaFloodspic.twitter.com/vh4i6hMxDG",@IAF_MCC @BijayKumarShar7 @NDRFHQ @Naveen_Odisha,#KeralaFloodRelief #KeralaFloods #PoliceinKeralaFloodspic
545,8/20/2018 5:24,indiannavy,113,OpMadad KeralaFloods KeralaFloods2018 KeralaFloodRelief Naval deployments for Rescue and Relief as of 1030h today. More teams being rushed/ re-located to Chengannur.twitter.com/fORsmYv3a1,@DefenceMinIndia @SpokespersonMoD @nsitharaman @CMOKeralapic,#OpMadad #KeralaFloods #KeralaFloods2018 #KeralaFloodRelief
548,8/20/2018 4:54,SnehaMKoshy,797,"The doctor couple who were the only hope for thousands in the initial days of Aluva being cut off from the rest of the world. ""We thought we would collapse. We were sleeping for just 2 hours"",Dr Najeeb and Dr Naseema to KeralaFloodRelief KeralaFloods IndiaForKeralapic.twitter.com/54GvOVFnVb",@ndtv,#doctor #Aluva #KeralaFloodRelief #KeralaFloods #IndiaForKeralapic
551,8/20/2018 4:43,PreetiSMenon,81,Never ever have I seen people insult victims of a natural disaster Never ever have I seen so much hate being spread merely to score political points How will weever repair the fabric of humanity thats been torn to shreds by Sanghi Bhakts of KeralaFloods,@narendramodi_in,#KeralaFloods
557,8/20/2018 3:13,TrollHatersTH,161,Some Random List Of Suriya Fans Club Contributions for Kerala Flood Relief ( Only added few Fans Clubs ) Great Work Friends KeralaFloodRescue KeralaFloods pic.twitter.com/EA71y6ZSvy,@Suriya_offl,#KeralaFloodRescue #KeralaFloods
558,8/20/2018 2:58,manichejain,823,Lol... silently donated 5 cr for KeralaFloods victims and hired bots to tell about his silent donation pic.twitter.com/OXfvVZmB5z,@iamsrk,#KeralaFloods
560,8/20/2018 2:41,calamur,69,"for me, the best KeralaFloods coverage, in English, was from and team, at -- it is a case study on how local reporting, at the time of disasters ought to be done.",@dhanyarajendran @thenewsminute,#KeralaFloods
578,8/19/2018 18:13,MirrorNow,198,"Rumour Vs Truth! As fake forwards and rumours on KeralaFloods, are going around, tells you what's a rumour and what's a fact! IndiaForKerala KeralaReliefFund KeralaFloods KeralaFloodRelief StandWithKeralapic.twitter.com/ISYNObqP0g",@fayedsouza,#KeralaFloods #IndiaForKerala #KeralaReliefFund #KeralaFloods #KeralaFloodRelief #StandWithKeralapic
584,8/19/2018 17:15,rameshlaus,379,. Fans Club Members Taking part in Rescue Operation in Kerala .& Provided Food Items And Other Materials To flood Relief Camp...! KeralaSFC hatsoff Brothers... KeralaFloods DoForKeralapic.twitter.com/O2a6xch4AU,@Suriya_offl,#Kerala #KeralaSFC #KeralaFloods #DoForKeralapic
585,8/19/2018 16:45,umasudhir,112,Kerala government told fishermen were the backbone of the rescue operations ... a big thank you to those who helped wholeheartedly in an hour of need KeralaFloods  â¦,@ndtv,#KeralaFloods
586,8/19/2018 16:40,RifatJawaid,1906,"My hero Jaisal KP, who went down on all flours to help women climb boat. Least we can do is make him super famous. May Allah give him health and prosperity. What an inspiration! Photos via KeralaFloods pic.twitter.com/TnOQuGmDla",@Forumkeralam1,#KeralaFloods
587,8/19/2018 16:32,MajChowdhury,115,KeralaFloods Our people & our children need us. Please don't get swayed by narrow divisive messages. An unprecedented crisis which needs us to step up & do our bit. Video of a Naval relief camp attached. Thank you Time to unite. Not divide.pic.twitter.com/FhDtkE6Qm1,@adgpi @indiannavy @IAF_MCC @CMOKerala,#KeralaFloods
593,8/19/2018 15:51,Ra_THORe,154,Keralafloods: PM ji announces compensation of Rs 2 lakh for deceased victimsâ kin  â¦pic.twitter.com/sWVNBpjZdh,@narendramodi,#Keralafloods
596,8/19/2018 15:15,USAmbIndia,132,Our heartfelt sympathies to all those affected by the KeralaFloods. The U.S. Mission in India stands with the people of Kerala in this time of crisis and applauds the excellent work being done by the rescue teams and relief workers.,@CMOKerala @PMOIndia,#KeralaFloods
598,8/19/2018 14:58,DefenceMinIndia,124,"Update on KeralaFloodRelief efforts: Indian Armed Forces' 27 fixed wing military transport aircraft and 49 helicopters are actively engaged in transportation of food, fresh water, personnel across all flood affected areas of Kerala, KeralaFloods.twitter.com/RapsyjcWMO",@nsitharamanpic,#KeralaFloodRelief #KeralaFloods
599,8/19/2018 14:52,DefenceMinIndia,129,"Update KeralaFloodRelief efforts: , &'s 243 motorised, 24 non-motorised and 21 hired boats have been deployed for rapid movement of citizens to relief camps with the help of Armed Forces personnel. KeralaFloods.twitter.com/iWCf6O0VOp",@adgpi @indiannavy @IndiaCoastGuard @nsitharamanpic,#KeralaFloodRelief #KeralaFloods
600,8/19/2018 14:51,DefenceMinIndia,366,"Update KeralaFloodRelief efforts: Indian Armed Forces are executing multiple tasks for rapid relief in flood-affected areas of Kerala. Following tables show the overall deployment by , , and as on date. KeralaFloods.twitter.com/Pg39TRGmTR",@adgpi @IAF_MCC @indiannavy @IndiaCoastGuard @nsitharamanpic,#KeralaFloodRelief #KeralaFloods
